feature,importance,percentage,cumulative,rank
horse_weight,732.1077976226807,0.62,96.69,11
rest_period_category,628.9394989013672,0.53,97.22,12
last3f_index_zscore_last2_improved,563.8331985473633,0.48,97.7,13
is_jockey_change,511.9834957122803,0.43,98.13,14
time_index_zscore_trend_3_improved,441.39560413360596,0.37,98.5,15
running_style_mode_win_rate,413.54869747161865,0.35,98.85,16
time_index_zscore_last2_improved,343.93879890441895,0.29,99.14,17
time_index_zscore_best_3_improved,204.23410034179688,0.17,99.31,18
running_style_last1,197.98869705200195,0.17,99.48,19
days_since_last_race,129.53969955444336,0.11,99.59,20
jockey_rides_surface_distance,117.96979904174805,0.1,99.69,21
time_index_zscore_last3_improved,78.90850067138672,0.07,99.76,22
distance,68.18770027160645,0.06,99.82,23
running_style_mode,64.9011001586914,0.05,99.87,24
weight_change,51.68149948120117,0.04,99.91,25
sex,25.35070037841797,0.02,99.93,26
racecourse_encoded,23.677099227905273,0.02,99.95,27
bracket_number,22.2012996673584,0.02,99.97,28
surface_encoded,21.06529998779297,0.02,99.99,29
horse_number,15.433300018310547,0.01,100.0,30
is_consecutive_race,0.0,0.0,100.0,31
going_encoded,0.0,0.0,100.0,32
