feature,importance,percentage,cumulative,rank
jockey_place_rate_surface_distance,29478.739178180695,19.59,19.59,1
finish_pos_best_last5,28898.312417030334,19.21,38.8,2
last3f_index_zscore_last1_improved,9536.201665401459,6.34,45.14,3
age,7892.175045967102,5.25,50.39,4
race_class_encoded,7564.767663478851,5.03,55.42,5
running_style_last1_win_rate,6922.516130447388,4.6,60.02,6
time_index_zscore_last1_improved,6144.4906125068665,4.08,64.1,7
horse_weight,5499.340831279755,3.66,67.76,8
time_index_zscore_mean_3_improved,4817.467499732971,3.2,70.96,9
time_index_zscore_worst_3_improved,4696.054246902466,3.12,74.08,10
last3f_index_zscore_last2_improved,3959.392345428467,2.63,76.71,11
days_since_last_race,3779.070114135742,2.51,79.22,12
jockey_rides_surface_distance,3628.590079307556,2.41,81.63,13
time_index_zscore_trend_3_improved,3479.8539724349976,2.31,83.94,14
time_index_zscore_last2_improved,3343.0557498931885,2.22,86.16,15
running_style_mode_win_rate,2611.0234594345093,1.74,87.9,16
time_index_zscore_best_3_improved,2605.232005596161,1.73,89.63,17
distance,2233.5611243247986,1.48,91.11,18
time_index_zscore_last3_improved,2218.171015739441,1.47,92.58,19
horse_number,1935.6615176200867,1.29,93.87,20
weight_change,1688.3483724594116,1.12,94.99,21
racecourse_encoded,1644.8902878761292,1.09,96.08,22
bracket_number,1558.2515816688538,1.04,97.12,23
surface_encoded,1032.588526725769,0.69,97.81,24
running_style_last1,764.9139575958252,0.51,98.32,25
is_jockey_change,747.970739364624,0.5,98.82,26
rest_period_category,716.3717513084412,0.48,99.3,27
running_style_mode,526.3727760314941,0.35,99.65,28
sex,368.2808814048767,0.24,99.89,29
going_encoded,102.64580965042114,0.07,99.96,30
is_consecutive_race,53.854801177978516,0.04,100.0,31
is_after_long_rest,0.0,0.0,100.0,32
is_debut,0.0,0.0,100.0,33
