feature,importance
jockey_win_rate_surface_distance,77013.32853889465
finish_pos_best_last5,17156.607913970947
age,4807.331790924072
race_class_encoded,4486.285102844238
last3f_index_zscore_last1_improved,3983.447198867798
running_style_last1_win_rate,3002.8722286224365
time_index_zscore_last1_improved,2068.000407218933
time_index_zscore_mean_3_improved,1759.6755018234253
time_index_zscore_worst_3_improved,1493.9710025787354
horse_weight,1052.5405950546265
is_jockey_change,913.419303894043
last3f_index_zscore_last2_improved,685.547700881958
time_index_zscore_trend_3_improved,627.277702331543
time_index_zscore_last2_improved,482.5139045715332
rest_period_category,474.86019706726074
running_style_mode_win_rate,365.5817985534668
time_index_zscore_best_3_improved,335.12769889831543
jockey_rides_surface_distance,316.939998626709
time_index_zscore_last3_improved,195.27709674835205
running_style_last1,193.43639755249023
racecourse_encoded,137.87510108947754
days_since_last_race,128.99089908599854
bracket_number,84.77190017700195
surface_encoded,53.20170021057129
sex,31.82909870147705
weight_change,23.318099975585938
distance,23.128999710083008
horse_number,17.117900848388672
running_style_mode,15.949199676513672
going_encoded,0.0
is_consecutive_race,0.0
