feature,importance
jockey_win_rate_surface_distance,75680.39318275452
finish_pos_best_last5,15652.227996826172
race_class_encoded,4635.459493637085
age,4253.503082275391
last3f_index_zscore_last1_improved,3598.834285736084
running_style_last1_win_rate,2776.0898847579956
time_index_zscore_last1_improved,2472.2142086029053
jockey_place_rate_surface_distance,1803.9508075714111
time_index_zscore_mean_3_improved,1579.2112998962402
time_index_zscore_worst_3_improved,1426.3911056518555
horse_weight,732.1077976226807
rest_period_category,628.9394989013672
last3f_index_zscore_last2_improved,563.8331985473633
is_jockey_change,511.9834957122803
time_index_zscore_trend_3_improved,441.39560413360596
running_style_mode_win_rate,413.54869747161865
time_index_zscore_last2_improved,343.93879890441895
time_index_zscore_best_3_improved,204.23410034179688
running_style_last1,197.98869705200195
days_since_last_race,129.53969955444336
jockey_rides_surface_distance,117.96979904174805
time_index_zscore_last3_improved,78.90850067138672
distance,68.18770027160645
running_style_mode,64.9011001586914
weight_change,51.68149948120117
sex,25.35070037841797
racecourse_encoded,23.677099227905273
bracket_number,22.2012996673584
surface_encoded,21.06529998779297
horse_number,15.433300018310547
is_consecutive_race,0.0
going_encoded,0.0
