feature,importance,percentage,cumulative,rank
jockey_win_rate_surface_distance,75680.39318275452,63.85,63.85,1
finish_pos_best_last5,15652.227996826172,13.2,77.05,2
race_class_encoded,4635.459493637085,3.91,80.96,3
age,4253.503082275391,3.59,84.55,4
last3f_index_zscore_last1_improved,3598.834285736084,3.04,87.59,5
running_style_last1_win_rate,2776.0898847579956,2.34,89.93,6
time_index_zscore_last1_improved,2472.2142086029053,2.09,92.02,7
jockey_place_rate_surface_distance,1803.9508075714111,1.52,93.54,8
time_index_zscore_mean_3_improved,1579.2112998962402,1.33,94.87,9
time_index_zscore_worst_3_improved,1426.3911056518555,1.2,96.07,10
horse_weight,732.1077976226807,0.62,96.69,11
rest_period_category,628.9394989013672,0.53,97.22,12
last3f_index_zscore_last2_improved,563.8331985473633,0.48,97.7,13
is_jockey_change,511.9834957122803,0.43,98.13,14
time_index_zscore_trend_3_improved,441.39560413360596,0.37,98.5,15
running_style_mode_win_rate,413.54869747161865,0.35,98.85,16
time_index_zscore_last2_improved,343.93879890441895,0.29,99.14,17
time_index_zscore_best_3_improved,204.23410034179688,0.17,99.31,18
running_style_last1,197.98869705200195,0.17,99.48,19
days_since_last_race,129.53969955444336,0.11,99.59,20
jockey_rides_surface_distance,117.96979904174805,0.1,99.69,21
time_index_zscore_last3_improved,78.90850067138672,0.07,99.76,22
distance,68.18770027160645,0.06,99.82,23
running_style_mode,64.9011001586914,0.05,99.87,24
weight_change,51.68149948120117,0.04,99.91,25
sex,25.35070037841797,0.02,99.93,26
racecourse_encoded,23.677099227905273,0.02,99.95,27
bracket_number,22.2012996673584,0.02,99.97,28
surface_encoded,21.06529998779297,0.02,99.99,29
horse_number,15.433300018310547,0.01,100.0,30
is_consecutive_race,0.0,0.0,100.0,31
going_encoded,0.0,0.0,100.0,32
