feature,importance
jockey_win_rate_surface_distance,68339.05802631378
finish_pos_best_last5,15102.22251701355
jockey_place_rate_surface_distance,8866.599049568176
age,4917.755491256714
race_class_encoded,4758.330690383911
last3f_index_zscore_last1_improved,3999.8915996551514
running_style_last1_win_rate,3702.216588973999
time_index_zscore_last1_improved,2827.471179008484
time_index_zscore_mean_3_improved,1993.4170923233032
time_index_zscore_worst_3_improved,1306.8033027648926
horse_weight,1000.7979001998901
last3f_index_zscore_last2_improved,617.2622985839844
is_jockey_change,554.5313110351562
running_style_mode_win_rate,400.0532989501953
time_index_zscore_last2_improved,391.73289680480957
rest_period_category,360.94819831848145
time_index_zscore_best_3_improved,349.1494026184082
days_since_last_race,279.37449836730957
jockey_rides_surface_distance,268.8626003265381
time_index_zscore_trend_3_improved,263.79259872436523
racecourse_encoded,187.1028995513916
running_style_last1,119.61910057067871
time_index_zscore_last3_improved,65.51010131835938
distance,44.002899169921875
surface_encoded,38.19429969787598
sex,26.68239974975586
horse_number,16.260400772094727
weight_change,0.0
bracket_number,0.0
running_style_mode,0.0
