feature,importance
finish_pos_avg_last5,42481.95598053932
finish_position_last1,19333.487577438354
jockey_place_rate_surface_distance,16267.471225738525
horse_weight,7081.890966653824
jockey_win_rate_surface_distance,6664.774054288864
last3f_index_zscore_last1_improved,6161.782734870911
trainer_place_rate_surface_distance,5829.500138998032
days_since_last_race,4880.693270206451
age,4672.215113162994
trainer_win_rate_surface_distance,4117.320393323898
jockey_rides_surface_distance,4013.432004928589
last3f_index_zscore_last2_improved,3529.9179017543793
time_index_zscore_best_3_improved,3471.1878957748413
race_class_encoded,3447.6012115478516
time_index_zscore_trend_3_improved,3417.150522708893
time_index_zscore_last2,2930.7155232429504
time_index_zscore_worst_3_improved,2853.3046803474426
time_index_zscore_last1,2804.0319077968597
time_index_zscore_last3,2473.2367992401123
horse_number,2472.1268014907837
time_index_zscore_mean_3_improved,2212.9329710006714
distance,2198.8235654830933
weight_change,2195.3731341362
running_style_last1,2186.255266904831
racecourse_encoded,1786.4175863265991
bracket_number,1655.9646663665771
rest_period_category,1313.084270477295
surface_encoded,972.9969797134399
sex,406.0652995109558
is_jockey_change,377.0818226337433
running_style_mode,253.78144025802612
