rank	sire_name	races	wins	places_2	places_3	win_rate	quinella_rate	place_rate	win_payback	place_payback	avg_popularity	avg_rank	median_popularity	median_rank
1	エピファネイア	395	67	53	52	17.0	30.4	43.5	86.5	104.6	4.8	5.1	4	4
2	キズナ	346	54	43	33	15.6	28.0	37.6	87.1	74.2	4.9	5.8	4	5
3	モーリス	312	40	22	42	12.8	19.9	33.3	115.5	92.2	5.4	6.1	5	5
4	ロードカナロア	335	35	37	31	10.4	21.5	30.7	37.9	49.5	4.2	6.9	3	7
5	ドゥラメンテ	247	32	32	24	13.0	25.9	35.6	58.6	75.2	4.6	6.2	4	5
6	キタサンブラック	204	29	30	17	14.2	28.9	37.3	59.5	86.3	4.8	6.1	4	5
7	ヘニーヒューズ	165	26	11	21	15.8	22.4	35.2	101.5	71.9	5.1	6.4	4	5
8	リアルスティール	251	26	31	22	10.4	22.7	31.5	143.5	104.0	6.5	6.5	6	6
9	シルバーステート	256	24	19	28	9.4	16.8	27.7	88.8	69.5	6.9	7.0	6	6
10	ハービンジャー	218	22	20	18	10.1	19.3	27.5	104.5	77.4	7.2	6.8	7	6
11	ドレフォン	319	20	24	25	6.3	13.8	21.6	40.8	50.1	6.3	7.4	5	7
12	サートゥルナーリア	133	19	11	9	14.3	22.6	29.3	49.6	50.3	5.1	6.4	4	6
13	ルーラーシップ	255	19	16	17	7.5	13.7	20.4	94.0	67.8	7.3	7.2	7	7
14	ナダル	90	17	15	4	18.9	35.6	40.0	72.6	68.6	4.0	6.0	3	5
15	シニスターミニスター	133	17	15	19	12.8	24.1	38.3	110.9	121.2	5.8	6.1	5	5
16	ハーツクライ	135	17	18	15	12.6	25.9	37.0	54.0	75.9	4.6	6.1	3	5
17	ジャスタウェイ	180	17	14	8	9.4	17.2	21.7	87.0	57.4	7.6	7.5	8	7
18	サトノダイヤモンド	220	17	17	21	7.7	15.5	25.0	60.0	70.9	6.7	7.1	6	7
19	ダノンレジェンド	114	16	13	11	14.0	25.4	35.1	187.0	128.5	7.6	7.1	7	6
20	ルヴァンスレーヴ	126	15	13	12	11.9	22.2	31.7	123.7	180.4	6.9	6.1	6	6
21	スワーヴリチャード	140	15	10	14	10.7	17.9	27.9	47.4	53.2	5.1	6.7	4	6
