api_name,display_label
Owner,連絡先の担当者
Lead_Source,見込み客のデータ元
First_Name,名
Last_Name,姓
Account_Name,取引先名
Vendor_Name,代理店/管理会社名
Email,メール
Title,職位
Department,部署
Phone,電話番号
Home_Phone,電話番号（自宅）
Other_Phone,電話番号（その他）
Fax,Fax
Mobile,携帯電話
Date_of_Birth,誕生日
Assistant,秘書
Asst_Phone,電話番号（秘書）
Created_By,作成者
Modified_By,更新者
Created_Time,作成日時
Modified_Time,更新日時
Full_Name,氏名
Mailing_Street,町名・番地
Other_Street,町名・番地（その他）
Mailing_City,市区町村
Other_City,市区町村（その他）
Mailing_State,都道府県
Other_State,都道府県（その他）
Mailing_Zip,郵便番号
Other_Zip,郵便番号（その他）
Mailing_Country,国
Other_Country,国（その他）
Description,詳細情報
Email_Opt_Out,メール対象外（オプトアウト）
Skype_ID,Skype ID
Salutation,敬称
Secondary_Email,サブのメールアドレス
Currency,通貨
Exchange_Rate,為替レート
Last_Activity_Time,最新の操作日時
Twitter,Twitter
Layout,レイアウト
Tag,タグ
Record_Image,連絡先の画像
Unsubscribed_Mode,配信停止の方法
Unsubscribed_Time,配信停止の日時
Change_Log_Time__s,工数を変更する
Data_Processing_Basis_Details,Data Processing Basis Details
Data_Processing_Basis,データ処理の法的根拠
Data_Source,データ元
move_in_expected_date,引越し予定日
mansion_number_room,号室
introducerResponsibleName,紹介元担当者名
introducerStoreBranchOfficeName,紹介元店舗支店名
usingGasCompany,利用しているガス会社
usingPower,利用している電力
firstConnectDate,初回コネクト日
ID2,申込受付くん管理会社ID
ID3,申込受付くん申込ID
ID_auth_id,申込受付くん店舗ID(auth_id)
ID1,顧客ID
customerNameKana,顧客名カナ
freeNetPropertyExistence,無料ネット物件の有無
address,住所（元データ）
buildingName,マンション名
rep,担当者
leadCreationTime,見込み客作成日時
customer_transfer_date,送客日
Cost,リスト費用
Cost80,リスト費用（8割）
Amount,売上総額
gross_profit,粗利
gross_profit_80,粗利（8割）
productLists,案内可能商材
feeManagementCompany,手数料(管理会社)
feeItandi,手数料(イタンジ)
Remarks_Registration,備考欄（送客時）
gasLandingDate,ガス着地日
wsLandingDate,WS着地日
homeMovingLandingDate,引越着地日
earnDate,獲得日
flagDetail,フラグ詳細
lastCallingDate,【ガスSW】最終架電日
opticalLandingDate,光着地日
actualHomeMovingDate,実引越日
Remarks_After_Post_Confirmation,備考（後確後）
electricalLandingDate,電気着地日
otherCompanyArrangement,他社手配
earnLines,獲得回線
lastCaller,取次プラン(FC用)
wsStatus,WSステータス
homeMovingCompany,引越社
flag,フラグ
homeMovingStatus,引越ステータス
guidanceRecognition,案内認識
opticalLinesStatus,光回線ステータス
electricalStatus,電気ステータス
gasStatus,ガスステータス
mobileCarrier,携帯キャリア
alterTime,改め日時
businessType,事業種別
contract_sex,契)性別
vendorAgencyManagementCompanyName,仕入先（代理店・管理会社名）
age,年齢
field50,連絡希望日時
propaneGasCompanyName,プロパンガス会社名
Zoho_Forms,Zoho Forms
ID4,会社ID
LINE,LINE
relation,サポセレ獲得
relationResult,リレーション結果
NG,リレーションNG理由
SMS_pattern,SMSパターン
forExternalSharing,外部共有用
SMS,SMS送信
ID5,見込みID
Locked__s,Locked
phoneNumberAnotherNumber,電話番号 （別番号）
Last_Enriched_Time__s,最終取得日時
Enrich_Status__s,処理ステータス
afterConfirmationStatus,後確ステータス
landing_date_ws,着地日（WS）
landing_date_electric,着地日（電気）
last_landing_date_gas,最終着地日（ガス）
landing_date_gas,着地日（ガス）
last_landing_date_electric,最終着地日（電気）
last_landing_date_lines,最終着地日（回線）
last_landing_date_ws,最終着地日（WS）
result_electric,ステータス（電気）
result_lines,ステータス（回線）
result_gas,ステータス（ガス）
result_ws,結果（WS）
LL,LL外注先
start_desired_date_lines,開始希望日（回線）
start_desired_date_water,開始希望日（水道）
start_desired_date_electric,開始希望日（電気）
start_desired_date_ws,開始希望日（WS）
start_desired_date_gas,開始希望日（ガス）
statWS,ステータス（WS）
products_ws,商材（WS）
fc_server_type_ws,FC_サーバー種類（WS）
landing_date_lines,着地日（回線）
products_gas,商材（ガス）
products_lines,商材（回線）
statElectric,小ステータス（電気）
stat_water,ステータス（水道）
productsElectric,商材（電気）
stat_lines,小ステータス（回線）
stat_gas,小ステータス（ガス）
netFreeDetermining,ネット無料判別
previous_confirmer,前確者
desired_contact_time_zone,希望連絡時間帯
commissionDate,取次日
Remarks_Post_Confirmation,備考（後確）
Remarks_Pre_Confirmation,LL備考（前確）
afterConfirmationContactPreferredDate,後確希望日
afterConfirmationDesiredContactTime,後確希望連絡時刻
alterDate,改め日
duplication,重複
CB_NEW,CB金額(回線)
contract_family_name,契)姓
contract_family_name_kana,契)セイ
contract_last_name,契)名
contract_last_name_kana,契)メイ
calling_birthdate,対)生年月日
field1,二番号目
calling_name,対)名前
calling_name_kana,対)カナ
calling_sex,対)性別
contract_birthdate,契)生年月日
field6,住所（統合）
life_line_commission_items,ライフライン取次項目
water_commission_ksy,水道取次（KSY）
application_number_gas,契約書番号（ガス）
option_auxiliary_gas,オプション付帯（ガス）
entry_date_gas,エントリー日（ガス）
NG_reason_gas,後確NG理由（ガス）
customer_stat_gas,顧客ステータス（ガス）
regional_gas_stat_gas,地域ガスステータス（ガス）
option_auxiliary_ws,オプション付帯（WS）
sales_kubun_ws,販売区分（WS）
NG_reason_ws,結果NG理由（WS）
field15,エントリー日（電気）
application_number_electric,申込番号/契約書番号（電気）
field17,オプション付帯（電気）
customer_stat_electric,顧客ステータス（電気）
regional_power_stat_electric,地域電力ステータス（電気）
NG_reason_electric,後確NG理由（電気）
field,契約者との続柄
