horse_id,oldest_sibling_id,oldest_sibling_name,oldest_sibling_birth_year
2020104750,2021104405,セットアップ,2021
2021105418,2023106893,ヴェニゼロス,2023
2021105670,2022104922,リラエンブレム,2022
2021105724,2022107186,フィールドノート,2022
2021105743,2019105397,カークベイ,2019
2022103132,2021103153,クイーンズフジコ,2021
2022104635,2023106864,プロメサアルムンド,2023
2021103529,2022103549,コムーネ,2022
2022100417,2021100965,エクイティ,2021
2022103517,2023102377,リバーブレーション,2023
2022105927,2020103745,プランドールユー,2020
2021100121,2022100601,インディアンバーン,2022
2021101533,2022101541,オーシンエイチ,2022
2022107233,2025102726,カルカリーナの2025,2025
2022107300,2023106327,リリイズアイズ,2023
2020100233,2021100225,モズマーヴェリック,2021
2020100254,2021100244,ニシノティアモ,2021
2021100675,2022100124,ダイヤノエース,2022
2021101701,2022101700,マハーギータ,2022
2021107262,2023105453,パロットフィッシュ,2023
2022102784,2024101758,ラッタッタの2024,2024
2020110065,,,
2020110104,,マガスイート,2017
2020110106,,,
2020110131,,,
2020110133,,,
2020110136,,,
2021110056,,,
2021110057,,Gormley,2014
2021110069,,,
2021110131,,,
2021110132,,,
2021110134,,,
2022110088,,,
2022110107,,,
2022110110,,,
2022110111,,,
2022110112,,,
2022110114,,,
2022110115,,,
2021103708,2022103727,ルックアトミー,2022
2021104148,,,
2021102259,2022102236,クリノバーグマン,2022
2022104164,2020104515,クラウンリング,2020
2021103140,,,
2020106587,2018106282,マッドシェリー,2018
2021105654,,Greatest Honour,2018
2022104942,2023107146,ドリームコア,2023
2021107255,2020102006,ゼットガガの2020,2020
2021109027,2022109035,ロックマジェスティ,2022
2022103186,2023104989,メイショウルーク,2023
2022103515,2023102375,シグルーンの2023,2023
2022106768,2023106431,トライアンフパス,2023
2021100187,2022109163,ニシノテンカラットの2022,2022
2021100980,2022100430,オーケーイーグル,2022
2021106797,2023106452,コスモラムバック,2023
2022102338,2023100497,マヤノイマジン,2023
2022102567,2023105450,プレシャスフェザー,2023
2022104643,2023106873,ホワイトフレイムス,2023
2022106792,2023106464,フルフィルメント,2023
2022106817,2023106484,フェーダーローター,2023
2020104135,2021103749,マスターオブアジア,2021
2020106384,2021102710,エピファドール,2021
2021100557,2022100004,バスキュラリティ,2022
2022110038,2024100671,トゥウィンクルベリーの2024,2024
2021101081,2018100068,マザックヤースの2018,2018
2021101429,2019101651,フラワーパレード,2019
2021100005,2015102253,グランエクシト,2015
2021104276,2022104273,ユアマイドリーム,2022
2021110003,2022105959,ラブインザポイント,2022
2021110104,2018110018,イージーファクト,2018
2022106187,2024103027,キョウワヒラリーの2024,2024
2021105387,2022104628,レイナデアルシーラ,2022
2021110023,2024104440,エクストラマイルの2024,2024
2022100736,2021100240,ポッドワイルド,2021
2022106767,2023106430,アリストクラット,2023
2020102315,2012102011,ラブミーナンシー,2012
2020104960,2021107245,ポッドソング,2021
2021101793,2018100787,バジガクシェリール,2018
2020101655,2017100483,マオノサプライズ,2017
2020102135,2017100836,ショウゲキノノロシ,2017
2020105525,2018101937,エースアウト,2018
2020101652,2019101717,アプレロンデ,2019
2022105885,2023105459,ウシワカマル,2023
2019102665,2013103011,サンストックトン,2013
2020100084,2022100551,タカマキファイブ,2022
2022106926,2023104554,テンカラットレター,2023
2020110123,,,
2021105859,2022105132,オリオアルセーリオ,2022
2021105974,2022105977,ロートホルン,2022
2022104839,2023105299,ジョイカネラの2023,2023
2022105556,2023103587,リトルモンスターの2023,2023
2021101554,2018105899,エイシンピストン,2018
2021103868,2022103882,パワーストーン,2022
2021110063,,Malibu Maple,2015
2022101043,2018100020,ベルク,2018
2022103714,2023102545,ミルトハーバー,2023
2022106647,2024103470,トップソリストの2024,2024
2022107342,2023104383,ホヌタン,2023
2021103716,2022103740,ディセプティコン,2022
2021100475,2022100958,マミーブルー,2022
2021102774,2020106444,ノンリミタシオン,2020
2022106874,2023106235,ナムラモヨの2023,2023
2021110022,,,
2022102954,2021102964,アズデザイヤ,2021
2020100363,2021100381,ルミリオン,2021
2022100320,2020100840,カレーパン,2020
2022105849,2023106810,マスターソアラ,2023
2022100574,2021100096,バウンティキャット,2021
2022101517,2014102046,ハリアー,2014
2020103885,2022103504,ブライトライツ,2022
2021102797,2022102810,ツバメノコヤスガイ,2022
2021106353,2022106385,アポロプリンセスの2022,2022
2021109096,,,
2020101184,,,
2020101434,2021101271,レデツカ,2021
2021104145,2022104163,オンザブルースカイ,2022
2021109069,2019109074,スーパーマルキヤ,2019
2021106551,2022106566,ダイシンレアレア,2022
2020102625,2021104825,ゴンバデカーブース,2021
2021110156,,,
2022104988,2023107174,オカノティアラ,2023
2022110104,,Significant Form,2015
2022110137,,,
2022110138,,,
2020100555,2019102409,リトルアテーナ,2019
2021104052,2006101069,サクラファイヤー,2006
2022104559,2021104577,チョットオトシモノ,2021
2019100630,2020105621,アウトレンジ,2020
2021105112,2022105398,セゾンデフィーユ,2022
2022110010,,Phileas Fogg,2020
2020102896,2021105078,アトリウムチャペル,2021
2020110034,2021110112,ウェットシーズン,2021
2022102315,2023101394,ミエスタ,2023
2022102434,2024101427,レッドアネラの2024,2024
2022105242,2020102774,デルマソトコマタ,2020
2022105601,2023105215,ホーリーウーマンの2023,2023
2021104810,2022105741,リッター,2022
2021105583,2023107055,ジェイストリーク,2023
2022100623,2024105282,オリーズキャンディの2024,2024
2022106925,2023104552,フウセン,2023
2019101233,2020104950,エアリーチューンの2020,2020
2019102950,2017102321,アイファーグレー,2017
2020102269,2021102162,グディンナ,2021
2021100792,2022100251,パンプルミュゼ,2022
2021105138,2022105420,エコログローリー,2022
2022100528,2023100056,ノーブルジャッカル,2023
2022101469,2020101613,マーゴットロンド,2020
2022104699,2024102471,エレガントクルーズの2024,2024
2022106999,2023106270,ニシノガランテ,2023
2020106370,2021102693,サンマルウォーリア,2021
2020107081,2021107264,レッドゲート,2021
2021103316,2022103302,トップリボン,2022
2022100962,2023106638,ウイッチボニータ,2023
2022103229,2023105017,トレースイスラの2023,2023
2022103251,2023105029,メイショウカスミ,2023
2022103181,2020106839,ソウルフレイバー,2020
2020102793,2021104979,エバーキュートの2021,2021
2020103921,2021103518,リアルセンター,2021
2022110068,,,
2020101268,2021107329,サザンスノー,2021
2020107017,2016101655,メジャーニシキ,2016
2020103532,2021105697,スパルティート,2021
2021103732,2022103758,ミヤマイルス,2022
2021110062,,Silent Poet,2015
2022104594,2023106829,ベアサナエチャン,2023
2020110090,2021110088,キュクヌス,2021
2021110136,,,
2022105868,2020102733,ロックディスタウンの2020,2020
2022110001,2023107216,エジプシャンマウ,2023
2021104876,2019104566,ハッピースパイラル,2019
2021105283,2023105259,リュクスパトロール,2023
2022106465,2021106442,トドイワハリアー,2021
2020101582,2021101424,ホシキララ,2021
2020110075,2010110076,ロードクロサイト,2010
2021103242,2022103222,エオアリイ,2022
2021103717,2022103741,ロミヒ,2022
2021104780,,I'm a Lucky Guy,2014
2021105895,2022105177,グリプトグラフィ,2022
2021110048,,Sistercharlie,2014
2022103754,2023102584,ラコンチャビエン,2023
2022106243,2011104747,ゴーゴーサンデーの2011,2011
2020104336,2019106188,スマイルキングオー,2019
2021101164,2022101189,アディクテッドラン,2022
2021102900,2022102903,バントック,2022
2021102389,2022102378,ファンタイムギフト,2022
2021107123,2022107141,イイデテッシン,2022
2021109016,2023109153,ハピネスヒット,2023
2022106751,2023104471,チアファンファーレ,2023
2022106122,2019100111,ゴールドメアリ,2019
2021104283,2020104640,ガンモヘラクレス,2020
2021107259,2023106788,アンティーム,2023
2020102013,2016103476,キンシロウ,2016
2020103280,2021105441,エマロア,2021
2021102914,2022102916,モズプリヴェール,2022
2021104101,2023105377,タイセイドゥマーニ,2023
2021105687,2022104947,フラワームーン,2022
2020103474,2021105645,ユキカゼ,2021
2021106510,2018101921,スターバースト,2018
2021110135,,,
2022106354,2023104172,リリーサンダー,2023
2022106617,,,
2022110117,,,
2022110118,,,
2021104777,2023103712,ジンカイト,2023
2021104894,2020102689,マリンノート,2020
2022105787,2023106801,ラヴィニアパーク,2023
2022105813,2021104884,タイムハンドラーの2021,2021
2022106324,2023104159,ヴェガリア,2023
2022110140,,,
2020101503,2021101349,メイゲツ,2021
2021100653,2023105649,メリートーンの2023,2023
2021102436,2022102435,ルージュミラージュ,2022
2021102641,2022102665,ミジョカスマイル,2022
2021104646,2020102415,メイクアストーリー,2020
2022106470,2023104256,グラスミーティア,2023
2020105749,2022106775,ムーンナイトローズ,2022
2021101864,2022101863,ドントゥザムーン,2022
2021103502,2022103522,ジェットブレード,2022
2021103537,2020103937,ラヴァグロウ,2020
2022103155,2023102185,ドラムメジャー,2023
2020105746,2018102124,コスモピエドラ,2018
2020107001,2021103363,キョウエイノヴェル,2021
2021104490,2022104478,エリーティアラの2022,2022
2021106070,2022106082,ハンクスター,2022
2021102701,2024105704,ジェムディーラーの2024,2024
2022103425,2021103408,ペレク,2021
2020100629,2021104094,シリウスコルト,2021
2020102910,2022105380,ウィルシャイン,2022
2021103092,2022103078,ナムラモモ,2022
2021106854,2022106875,ラインアルテミス,2022
2022100371,2021100917,アウルムゼウス,2021
2020102637,2021104836,ポンポーソ,2021
2021105255,2022105536,エルモサメロディア,2022
2021105276,2022105559,パーリーラスター,2022
2020106549,2017106139,ザルティス,2017
2021105451,2022104703,オウケンビリーヴの2022,2022
2022104135,2023102915,テンレディーゴー,2023
2020105250,2021106263,フューココ,2021
2020105803,2021106835,マイネルコモドーア,2021
2021106199,2023105858,ウインテラジーナ,2023
2022101917,2023106782,スプリングドリーム,2023
2021102572,2022107191,メイショウキタダケ,2022
2021103682,2020104078,エンパイアブルーの2020,2020
2021106078,2019100092,マルヨスカーレット,2019
2022103188,,,
2022107135,2023104734,タガノヒダマリ,2023
2020105031,2004100070,キシャリの2004,2004
2021110146,,My Boy Jack,2015
2022105909,2023106657,イーサンミラー,2023
2020110155,,Lily's Angel,2009
2021104995,2020102816,カイザーバルの2020,2020
2021105040,2022105329,ゴージャスランチの2022,2022
2021106766,2022106761,ウアーシュプルング,2022
2022110034,,,
2021101019,2022100464,ヴノ,2022
2021103943,2022103954,クインズメレンゲ,2022
2021106904,2020105857,レイラブレイン,2020
2021110153,,,
2022103053,2020106724,ケイアイバザラ,2020
2022107185,2023105250,マゲバスピード,2023
2019104091,2020106910,エッセレンチ,2020
2020101209,2021101038,セキテイサク,2021
2022103304,,Into Classic,2019
2020102077,2019102101,ジゼル,2019
2020104725,2019106562,クールフォルテ,2019
2020104878,2021104540,スプレムータ,2021
2021107253,2019100939,ニシノハナムスメの2019,2019
2021100652,2022100098,ベルギューン,2022
2021103550,2022103575,ホウオウハナビ,2022
2021100935,2022100391,ララベルドゥニュイ,2022
2021110020,,,
2022100781,2023100231,アベリア,2023
2022105163,2023107342,ルージュフィーリア,2023
2021103338,2022103333,ハピハピハッピー,2022
2021105496,2022104745,シャルクハフト,2022
2021105555,2022104808,ジャニーヌ,2022
2021105738,2022105006,アメリカンバー,2022
2022102749,2021102734,アンリ,2021
2022105076,2023107257,パラワン,2023
2019102585,2018103144,フジインザスカイの2018,2018
2020101486,2019101561,スターオブモア,2019
2020102891,2021105073,パカーラン,2021
2020103434,2013104565,トウショウジルバ,2013
2021105127,2022105413,テラノヴァの2022,2022
2021105434,2022104681,ルージュヴィオーラ,2022
2021105454,2022104706,セリオヴェローチェ,2022
2021105849,2022105126,エピファランド,2022
2022104751,2023106978,アクロフェイズ,2023
2022106347,2023104169,ソルトアイリス,2023
2020107036,2022106784,エルドジュリエーネ,2022
2021110165,,,
2022101171,,,
2019109106,2020109106,クレッシェンド,2020
2020104194,2021103814,ライヴラスカル,2021
2022104944,2024106498,ハウナニの2024,2024
2019103898,2022103050,キングベル,2022
2021103210,2022103190,メイショウハバネラの2022,2022
2021104503,2022100498,ジャスミンガール,2022
2021105939,2022105940,メイショウコウベ,2022
2022104501,2023103244,アマテラスイメル,2023
2022103592,2021103560,ラルビッツ,2021
2021101702,2022101701,カレンダーイヤー,2022
2020102488,2021104709,トーセンシエンタ,2021
2020103844,,,
2021101015,2020101010,レスピラシオン,2020
2021101478,2023106059,ダノンマーガレット,2023
2021105150,2020102968,ナレラの2020,2020
2021110147,,,
2020102840,2021105018,プレパラシオン,2021
2020103901,2021103501,マイエール,2021
2021107171,2023103329,ウンナターシャ,2023
2021110008,2022105075,タイセイドラード,2022
2022101048,2023100604,ショウナンアワード,2023
2022104918,2021105665,マハーワンサ,2021
2022105557,2024106073,リバティハイツの2024,2024
2022110077,,,
2021102276,2022102258,レイネイル,2022
2021102498,2020106130,ダイアモンドモア,2020
2022101481,2020101627,シェーンブルーメ,2020
2020101784,2021101624,キャンドルマス,2021
2020106534,2021102867,メイショウコオロギ,2021
2020106896,2021103257,チャコール,2021
2020110068,2021110067,ディスタントスカイ,2021
2022107133,,,
2020102273,2016103731,キタノキセキ,2016
2020105018,2021106033,トニーテソーロ,2021
2020109148,2016101654,エイシンホルス,2016
2021104649,2022105611,ワイドクリーガー,2022
2020103736,2021105915,レガシーオブエリザ,2021
2020106415,2022105898,キラメイテ,2022
2021105057,2022105345,シンゼンカガ,2022
2020104708,2012105987,ツナプリンセス,2012
2021101195,2019101436,コーリンブリリアンの2019,2019
2021110001,2022104648,フランクスピード,2022
2021110030,2022110020,リヤドスカイライン,2022
2021110060,,,
2022104939,2023107143,ノチェセラーダ,2023
2022110014,,,
2022110120,,,
2021105661,2022104911,レガーロカリーノ,2022
2021110161,,,
2022104761,2023106991,グレイシエーション,2023
2022106218,2021106202,ウインファビラスの2021,2021
2020101543,2021101382,ブリックワーク,2021
2020103045,2022102745,ベネスピラ,2022
2020106006,2021107049,ライトヴェール,2021
2022105209,2023103312,アンパンタイム,2023
2020103398,2021105557,トロヴァトーレ,2021
2021106993,2022104472,ナハトフリュグ,2022
2020101707,2021101546,スマートマートル,2021
2021100739,2022100198,ジューンシェイド,2022
2021101691,2022101689,インディーフィルム,2022
2022101068,2023105462,クラテロス,2023
2022101686,2023101159,アイニードユー,2023
2022104403,2024104950,キャディクラシコ,2024
2021101801,2023101216,ドキドキ,2023
2022106482,2023104265,サツキジュエル,2023
2022104619,2023106850,ゾロアストロ,2023
2020102861,2022105336,セレニティ,2022
2021105580,2022104828,ショウナンバジャラ,2022
2021105742,2023103875,マカナアネラ,2023
2020101550,2021101388,カティアール,2021
2021105730,2020103572,ピーチバウム,2020
2021110138,,,
2020104572,2019106429,ミスターボーラー,2019
2021103574,,,
2021106942,2020105898,スマイルマハロ,2020
2022100664,2023100119,ポピーレッド,2023
2022110066,2023110044,ペスカドール,2023
2020110031,,,
2022110129,,,
2021104978,2022105258,ホークライト,2022
2022100321,,,
2022101403,2024100426,クラウンドヘッドの2024,2024
2022105262,2023103354,ファイネクローネ,2023
2020100271,2018105927,バジガクシャルム,2018
2020100906,2021100910,ギンレイ,2021
2020106922,2022102845,メイショウマヒロ,2022
2022110135,,,
2020100530,2021100537,エスケイチャンス,2021
2020104304,2022103950,スマートスピニー,2022
2020105929,2019100926,スターペスカイル,2019
2021100953,2022100403,ウォーターガーベラ,2022
2022103211,2023105008,ゴールデンスラム,2023
2022103285,2023105050,ミトノテイオー,2023
2020101174,2019101211,シノジマニヨラサイ,2019
