api_name,display_label
Owner,見込み客の担当者
Company,会社
First_Name,名
Last_Name,姓
Email,メール
Phone,電話番号
Mobile,携帯電話
Website,Webサイト
Lead_Source,見込み客のデータ元
Lead_Status,見込み客ステータス
Industry,業界
No_of_Employees,従業員数
Created_By,作成者
Modified_By,更新者
Created_Time,作成日時
Modified_Time,更新日時
Full_Name,氏名
Street,町名・番地
City,市区町村
State,都道府県
Zip_Code,郵便番号
Country,国
Description,詳細情報
Email_Opt_Out,メール対象外（オプトアウト）
Salutation,敬称
Secondary_Email,サブのメールアドレス
Currency,通貨
Exchange_Rate,為替レート
Last_Activity_Time,最新の操作日時
Layout,レイアウト
Tag,タグ
Record_Image,見込み客の画像
Lead_Conversion_Time,見込み客の変換までの期間
Unsubscribed_Mode,配信停止の方法
Unsubscribed_Time,配信停止の日時
Converted_Account,変換済みの取引先
Converted_Contact,変換済みの連絡先
Converted_Deal,変換済みの商談
Change_Log_Time__s,工数を変更する
First_Visited_Time,最初の訪問日時
Visitor_Score,訪問スコア
Referrer,参照元（リファラー）
Average_Time_Spent_Minutes,平均滞在時間（分）
Last_Visited_Time,最後の訪問日時
First_Visited_URL,最初の訪問URL
Number_Of_Chats,チャット数
Days_Visited,訪問日数
Data_Processing_Basis_Details,Data Processing Basis Details
Data_Processing_Basis,データ処理の法的根拠
Data_Source,データ元
building_name,マンション名
move_in_expected_date,引越し予定日
room_number,号室
introducer_responsible_name,紹介元担当者名
introducer_store_branch_office,紹介元店舗支店名
electric_type,利用している電力
gas_type,利用しているガス会社
ID1,申込受付くん申込ID
ID_auth_id,申込受付くん店舗ID(auth_id)
ID_company_master_id,申込受付くん管理会社ID(company_master_id)
customer_name_kana,顧客名（カナ）
field9,誕生日（削除予定）
first_connect_date,初回コネクト日
field14,ガス案内
ID2,顧客ID
is_free_internet_property,無料ネット物件の有無
address,住所（元データ）
Vendor_Name,仕入先（代理店・管理会社）
tossup_date,送客日
contract_birthdate,契)生年月日
name_kanji,対)名
name_kana,対)カナ
calling_birthdate,対)生年月日
contract_sex,契)性別
calling_sex,対)性別
guest_number_gas,お客様番号_ガス
optical_tv,光テレビ
mobile_smartphone_with_galapagos_phone,携帯)スマホ/ガラケ
company_name,取引先名
business_type,事業種別
current_use_period,【現】利用期間
lines_holder_name,回線名義人（名前）
phone_number2,二番号目
current_ISP,【現】ISP
current_name,【現】名前
current_kana,【現】カナ
lines_holder_kana,回線名義人（カナ）
residence_style,建物種別
contract_last_name_kana,契)メイ
contract_first_name_kana,契)セイ
contract_last_name,契)名
contract_first_name,契)姓
current_use_fee,【現】利用料金
connection_method,見込み5フラグ
use_terminal,入居リード
current_hikari_tv,EN対応依頼時間指定（LL）
address_takeover,アドレス引継ぎ
auxiliary_cp,付帯CP
ntt_east_west,物件進捗
commission_isp,取次ISP
relationship_with_contractor,契約者との続柄
isp_procedure,ISP手続き
guidance_fee,案内料金
commission_date,取次日
previous_confirmer,前確者
nd,ギフト案内
lineProgress,LINE進捗
catch_phone,キャッチホン
construction_detail,工事内容
service_refuse_spam_call,返金時期(LL)
wireless_router_rental2,無線ルーターレンタル
high_speed_service,トーク進捗
optical_telephone,光電話
au_option,au_オプション
commission_plan,取次プラン
new,付加サービス
current_digital_terrestrial_television,【現】地デジ環境
current_lines_name,【現】回線名
au,携帯)キャリア
field20,獲得日
field,年齢
Locked__s,Locked
Last_Enriched_Time__s,最終取得日時
Enrich_Status__s,処理ステータス
field42,複数店舗用企業名
SMS,SMSパターン
remarks_tossup,備考（送客時）
desired_contact_time,連絡希望日時
zoho_partner_id,会社ID
Zoho_Forms,Zoho Forms
field52,後確ステータス
productLists,案内可能商材
partner,LL外注先
after_confirmation_preferred_date,後確希望日
start_desired_date_ws,開始希望日（WS）
start_desired_date_water,開始希望日（水道）
start_desired_date_lines,開始希望日（回線）
start_desired_date_electric,開始希望日（電気）
start_desired_date_gas,開始希望日（ガス）
desired_contact_time_zone,希望連絡時間帯
products_ws,商材（WS）
status_water,ステータス（水道）
products_lines,商材（回線）
products_electric,商材（電気）
products_gas,商材（ガス）
propane_gas_name,プロパンガス会社名
field63,後確希望連絡時刻
supply_point_specific_number_gas,供給地点特定番号_ガス
ENKS,備考（後確）
last_calling_date,最終架電日
field66,改め日時
field67,改め日
stat_electric,小ステータス（電気）
stat_lines,小ステータス（回線）
landing_date_ws,着地日（WS）
landing_date_electric,着地日（電気）
last_landing_date_gas,最終着地日（ガス）
landing_date_lines,着地日（回線）
