table_name	column_name	ordinal_position	data_type	is_nullable	is_partitioning_column
horse	horse_id	1	INT64	YES	NO
horse	horse_name	2	STRING	YES	NO
horse	coat_color	3	STRING	YES	NO
horse	birth_date	4	DATE	YES	NO
horse	trainer_name	5	STRING	YES	NO
horse	trainer_id	6	STRING	YES	NO
horse	owner_name	7	STRING	YES	NO
horse	owner_id	8	STRING	YES	NO
horse	recruitment_info	9	STRING	YES	NO
horse	breeder_name	10	STRING	YES	NO
horse	breeder_id	11	STRING	YES	NO
horse	production_area	12	STRING	YES	NO
horse	auction_price	13	STRING	YES	NO
horse	father	14	STRING	YES	NO
horse	mother	15	STRING	YES	NO
horse	ff	16	STRING	YES	NO
horse	fm	17	STRING	YES	NO
horse	mf	18	STRING	YES	NO
horse	mm	19	STRING	YES	NO
horse	fff	20	STRING	YES	NO
horse	ffm	21	STRING	YES	NO
horse	fmf	22	STRING	YES	NO
horse	fmm	23	STRING	YES	NO
horse	mff	24	STRING	YES	NO
horse	mfm	25	STRING	YES	NO
horse	mmf	26	STRING	YES	NO
horse	mmm	27	STRING	YES	NO
horse	ffff	28	STRING	YES	NO
horse	fffm	29	STRING	YES	NO
horse	ffmf	30	STRING	YES	NO
horse	ffmm	31	STRING	YES	NO
horse	fmff	32	STRING	YES	NO
horse	fmfm	33	STRING	YES	NO
horse	fmmf	34	STRING	YES	NO
horse	fmmm	35	STRING	YES	NO
horse	mfff	36	STRING	YES	NO
horse	mffm	37	STRING	YES	NO
horse	mfmf	38	STRING	YES	NO
horse	mfmm	39	STRING	YES	NO
horse	mmff	40	STRING	YES	NO
horse	mmfm	41	STRING	YES	NO
horse	mmmf	42	STRING	YES	NO
horse	mmmm	43	STRING	YES	NO
horse	fffff	44	STRING	YES	NO
horse	ffffm	45	STRING	YES	NO
horse	fffmf	46	STRING	YES	NO
horse	fffmm	47	STRING	YES	NO
horse	ffmff	48	STRING	YES	NO
horse	ffmfm	49	STRING	YES	NO
horse	ffmmf	50	STRING	YES	NO
horse	ffmmm	51	STRING	YES	NO
horse	fmfff	52	STRING	YES	NO
horse	fmffm	53	STRING	YES	NO
horse	fmfmf	54	STRING	YES	NO
horse	fmfmm	55	STRING	YES	NO
horse	fmmff	56	STRING	YES	NO
horse	fmmfm	57	STRING	YES	NO
horse	fmmmf	58	STRING	YES	NO
horse	fmmmm	59	STRING	YES	NO
horse	mffff	60	STRING	YES	NO
horse	mfffm	61	STRING	YES	NO
horse	mffmf	62	STRING	YES	NO
horse	mffmm	63	STRING	YES	NO
horse	mfmff	64	STRING	YES	NO
horse	mfmfm	65	STRING	YES	NO
horse	mfmmf	66	STRING	YES	NO
horse	mfmmm	67	STRING	YES	NO
horse	mmfff	68	STRING	YES	NO
horse	mmffm	69	STRING	YES	NO
horse	mmfmf	70	STRING	YES	NO
horse	mmfmm	71	STRING	YES	NO
horse	mmmff	72	STRING	YES	NO
horse	mmmfm	73	STRING	YES	NO
horse	mmmmf	74	STRING	YES	NO
horse	mmmmm	75	STRING	YES	NO
jockey	jockey_id	1	INT64	YES	NO
jockey	jockey_name	2	STRING	YES	NO
jockey	region	3	STRING	YES	NO
jockey	debut_year	4	INT64	YES	NO
jockey	is_active	5	BOOL	YES	NO
race_master	race_id	1	INT64	YES	NO
race_master	race_date	2	DATE	YES	NO
race_master	race_name	3	STRING	YES	NO
race_master	venue_name	4	STRING	YES	NO
race_master	surface	5	STRING	YES	NO
race_master	distance	6	INT64	YES	NO
race_master	direction	7	STRING	YES	NO
race_master	track_variant	8	STRING	YES	NO
race_master	course_label	9	STRING	YES	NO
race_master	weather	10	STRING	YES	NO
race_master	track_condition	11	STRING	YES	NO
race_master	meeting_day	12	INT64	YES	NO
race_master	race_number	13	INT64	YES	NO
race_master	race_class	14	STRING	YES	NO
race_master	grade	15	STRING	YES	NO
race_master	age_category	16	INT64	YES	NO
race_master	is_fillies_only	17	BOOL	YES	NO
race_master	is_handicap	18	BOOL	YES	NO
race_master	entry_count	19	INT64	YES	NO
race_master	win	20	STRING	YES	NO
race_master	place	21	STRING	YES	NO
race_master	umaren	22	STRING	YES	NO
race_master	umatan	23	STRING	YES	NO
race_master	wide	24	STRING	YES	NO
race_master	sanrenpuku	25	STRING	YES	NO
race_master	sanrentan	26	STRING	YES	NO
race_result	race_id	1	INT64	YES	NO
race_result	horse_id	2	INT64	YES	NO
race_result	finish_position	3	INT64	YES	NO
race_result	bracket_number	4	INT64	YES	NO
race_result	horse_number	5	INT64	YES	NO
race_result	horse_name	6	STRING	YES	NO
race_result	sex	7	INT64	YES	NO
race_result	age	8	INT64	YES	NO
race_result	jockey_id	9	INT64	YES	NO
race_result	jockey_name	10	STRING	YES	NO
race_result	trainer_id	11	INT64	YES	NO
race_result	trainer_name	12	STRING	YES	NO
race_result	jockey_weight	13	FLOAT64	YES	NO
race_result	final_time	14	FLOAT64	YES	NO
race_result	time_diff	15	STRING	YES	NO
race_result	last_3f_time	16	FLOAT64	YES	NO
race_result	popularity	17	INT64	YES	NO
race_result	odds	18	FLOAT64	YES	NO
race_result	horse_weight	19	INT64	YES	NO
race_result	weight_change	20	INT64	YES	NO
race_result	corner_positions	21	STRING	YES	NO
race_result	stable_region	22	STRING	YES	NO
race_result	win	23	FLOAT64	YES	NO
race_result	place	24	FLOAT64	YES	NO
trainer	trainer_id	1	INT64	YES	NO
trainer	trainer_name	2	STRING	YES	NO
trainer	region	3	STRING	YES	NO
trainer	debut_year	4	INT64	YES	NO
trainer	is_active	5	BOOL	YES	NO
