table_name	column_name	data_type	is_nullable

horse	horse_id	INT64	YES
horse	horse_name	STRING	YES
horse	coat_color	STRING	YES
horse	birth_date	DATE	YES
horse	trainer_name	STRING	YES
horse	trainer_id	STRING	YES
horse	owner_name	STRING	YES
horse	owner_id	STRING	YES
horse	recruitment_info	STRING	YES
horse	breeder_name	STRING	YES
horse	breeder_id	STRING	YES
horse	production_area	STRING	YES
horse	auction_price	STRING	YES
horse	father	STRING	YES
horse	mother	STRING	YES
horse	ff	STRING	YES
horse	fm	STRING	YES
horse	mf	STRING	YES
horse	mm	STRING	YES
horse	fff	STRING	YES
horse	ffm	STRING	YES
horse	fmf	STRING	YES
horse	fmm	STRING	YES
horse	mff	STRING	YES
horse	mfm	STRING	YES
horse	mmf	STRING	YES
horse	mmm	STRING	YES
horse	ffff	STRING	YES
horse	fffm	STRING	YES
horse	ffmf	STRING	YES
horse	ffmm	STRING	YES
horse	fmff	STRING	YES
horse	fmfm	STRING	YES
horse	fmmf	STRING	YES
horse	fmmm	STRING	YES
horse	mfff	STRING	YES
horse	mffm	STRING	YES
horse	mfmf	STRING	YES
horse	mfmm	STRING	YES
horse	mmff	STRING	YES
horse	mmfm	STRING	YES
horse	mmmf	STRING	YES
horse	mmmm	STRING	YES
horse	fffff	STRING	YES
horse	ffffm	STRING	YES
horse	fffmf	STRING	YES
horse	fffmm	STRING	YES
horse	ffmff	STRING	YES
horse	ffmfm	STRING	YES
horse	ffmmf	STRING	YES
horse	ffmmm	STRING	YES
horse	fmfff	STRING	YES
horse	fmffm	STRING	YES
horse	fmfmf	STRING	YES
horse	fmfmm	STRING	YES
horse	fmmff	STRING	YES
horse	fmmfm	STRING	YES
horse	fmmmf	STRING	YES
horse	fmmmm	STRING	YES
horse	mffff	STRING	YES
horse	mfffm	STRING	YES
horse	mffmf	STRING	YES
horse	mffmm	STRING	YES
horse	mfmff	STRING	YES
horse	mfmfm	STRING	YES
horse	mfmmf	STRING	YES
horse	mfmmm	STRING	YES
horse	mmfff	STRING	YES
horse	mmffm	STRING	YES
horse	mmfmf	STRING	YES
horse	mmfmm	STRING	YES
horse	mmmff	STRING	YES
horse	mmmfm	STRING	YES
horse	mmmmf	STRING	YES
horse	mmmmm	STRING	YES
jockey	jockey_id	INT64	YES
jockey	jockey_name	STRING	YES
jockey	region	STRING	YES
jockey	debut_year	INT64	YES
jockey	is_active	BOOL	YES
race_master	race_id	INT64	YES
race_master	race_date	DATE	YES
race_master	race_name	STRING	YES
race_master	venue_name	STRING	YES
race_master	surface	STRING	YES
race_master	distance	INT64	YES
race_master	direction	STRING	YES
race_master	track_variant	STRING	YES
race_master	course_label	STRING	YES
race_master	weather	STRING	YES
race_master	track_condition	STRING	YES
race_master	meeting_day	INT64	YES
race_master	race_number	INT64	YES
race_master	race_class	STRING	YES
race_master	grade	STRING	YES
race_master	age_category	INT64	YES
race_master	is_fillies_only	BOOL	YES
race_master	is_handicap	BOOL	YES
race_master	entry_count	INT64	YES
race_master	win	STRING	YES
race_master	place	STRING	YES
race_master	umaren	STRING	YES
race_master	umatan	STRING	YES
race_master	wide	STRING	YES
race_master	sanrenpuku	STRING	YES
race_master	sanrentan	STRING	YES
race_result	race_id	INT64	YES
race_result	horse_id	INT64	YES
race_result	finish_position	INT64	YES
race_result	bracket_number	INT64	YES
race_result	horse_number	INT64	YES
race_result	horse_name	STRING	YES
race_result	sex	INT64	YES
race_result	age	INT64	YES
race_result	jockey_id	INT64	YES
race_result	jockey_name	STRING	YES
race_result	trainer_id	INT64	YES
race_result	trainer_name	STRING	YES
race_result	jockey_weight	FLOAT64	YES
race_result	final_time	FLOAT64	YES
race_result	time_diff	STRING	YES
race_result	last_3f_time	FLOAT64	YES
race_result	popularity	INT64	YES
race_result	odds	FLOAT64	YES
race_result	horse_weight	INT64	YES
race_result	weight_change	INT64	YES
race_result	corner_positions	STRING	YES
race_result	stable_region	STRING	YES
race_result	win	FLOAT64	YES
race_result	place	FLOAT64	YES
trainer	trainer_id	INT64	YES
trainer	trainer_name	STRING	YES
trainer	region	STRING	YES
trainer	debut_year	INT64	YES
trainer	is_active	BOOL	YES
